REEF_NAME,GBR_SECTOR,RV,TRIP_ID,TRIP_METADATA_LINK,DATE,SAMPLE_DATE_SEAWATER_SEDIMENTS,LATITUDE,LONGITUDE,WATER_COLLECTION_(VOL),COLLECTION_METHOD,UNDERWAY_DATA_TIME,SEAWATER_TEMPERATURE_2.5m_RV,SALINITY_2.5m_RV ,TURBIDITY_2.5m_RV ,FLUORESCENCE_2.5m_RV,OPEN_CLOSED_TO_FISHING,SAMPLE_COLLECTION_START,MEAN_CHLOROPHYLL-A_�g_L,MEAN_PHAEOPHYTIN-A_�g_L,MEAN_PN_�M,MEAN_POC_�M,MEAN_PP_�M,MEAN_DOC_�m,MEAN_PO4_�M,MEAN_NH4_�M,MEAN_NO2_�M,MEAN_NO3_�M,MEAN_Si_�M,MEAN_TDN_�M,MEAN_TDP_�M,MEAN_TSS_mg_L,illumina_seawater_zip
MCSWEENEY REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,23/11/2019,23/11/2019,-11.0198,143.24783,40L,Diving,16:41:59,27.6181,35.5209,2.255208,0.0882,O,16:45:00,0.18625,0.15707,1.664763333,12.32555667,0.096476667,NA,0.053333333,0.423333333,0.026666667,0.513333333,NA,5.583333333,0.176666667,0.486666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Mcsweeney.seawater.tar.gz
MONSOON REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,24/11/2019,24/11/2019,-11.12721,143.26387,40L,Diving,16:56:37,27.6473,35.587,2.273523,0.1004,O,17:00:00,0.257993333,0.219846667,1.598096667,11.38666667,0.07347,89.44444333,0.043333333,0.41,0.013333333,0.15,1.076666667,5.7,0.176666667,0.62,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Monsoon.seawater.tar.gz
11-049,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,25/11/2019,25/11/2019,-11.35312,143.32346,40L,Diving,14:50:06,27.7773,35.6286,2.273523,0.1248,C,14:51:00,0.257996667,0.268636667,1.483806667,11.57555667,0.0742,90.83333333,0.01,0.353333333,0.013333333,0.093333333,1.18,5.88,0.183333333,0.65,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/11-049.seawater.tar.gz
11-162,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,27/11/2019,27/11/2019,-11.59805,143.29448,40L,Diving,13:57:17,27.9117,35.6797,2.175843,0.0882,C,14:00:00,0.207173333,0.20502,1.226666667,8.447776667,0.06397,87.49999667,0.026666667,0.316666667,0.03,0.123333333,1.146666667,5.596666667,0.19,0.793333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/11-162.seawater.tar.gz
MANTIS REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,29/11/2019,29/11/2019,-12.3457,143.8674,40L,Diving,15:04:56,27.0065,35.1543,2.078162,0.1004,C,15:00:00,0.15366,0.186426667,0.855236667,5.092223333,0.02355,81.94444333,0.083333333,0.546666667,0.023333333,0.39,1.44,4.786666667,0.226666667,0.093333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Mantis.seawater.tar.gz
LAGOON REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,1/12/2019,1/12/2019,-12.38134,143.75682,40L,Diving,15:02:05,27.2612,35.2709,2.041532,0.0882,O,15:00:00,0.162333333,0.16269,1.440953333,6.73111,0.04356,86.94444333,0.046666667,0.253333333,0.023333333,0.236666667,1.363333333,5.063333333,NA,0.05,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Lagoon.seawater.tar.gz
DAVIE REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,5/12/2019,5/12/2019,-13.96599,144.44693,40L,Diving,15:03:30,27.6143,35.0779,2.035427,0.1004,O,15:00:00,0.15456,0.164366667,1.274286667,6.33111,0.031836667,81.66667,0.056666667,0.46,0.02,0.22,1.19,4.673333333,0.186666667,0.223333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Davie.seawater.tar.gz
CORBETT REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,6/12/2019,6/12/2019,-13.92542,144.24026,40L,Diving,16:50:12,28.5918,35.2632,2.017112,0.1004,C,16:55:00,0.075633333,0.15719,1.079046667,6.753336667,0.039136667,81.11111333,0.083333333,0.526666667,0.066666667,0.886666667,1.953333333,6.15,0.233333333,0.47,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Corbett.seawater.tar.gz
13-124,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,9/12/2019,9/12/2019,-13.8559,144.09326,40L,Diving,14:41:21,28.3808,35.4196,2.236893,0.1004,O,14:45:00,0.23617,0.206156667,1.336193333,9.897776667,0.062146667,81.11111,0.01,0.46,0.01,0.073333333,1.573333333,5.803333333,0.166666667,1.26,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/13-124.seawater.tar.gz
SANDBANK 1 REEF,North,Solander,7297,https://apps.aims.gov.au/metadata/view/97F79D65-AC97-7860-E054-0010E056919A,11/12/2019,11/12/2019,-14.20223,144.87929,40L,Diving,14:40:59,27.9055,35.1361,2.163633,0.1004,C,14:36:00,0.136023333,0.121913333,0.698096667,4.670003333,0.032566667,80.27778,0.046666667,0.263333333,0.013333333,0.116666667,1.806666667,4.813333333,0.19,0.206666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Sandbank1.seawater.tar.gz
