name,lat,lon
11-049,-11.35312,143.32346
11-162,-11.59805,143.29448
13-124,-13.8559,144.09326
21-550,-21.96005,152.31361
21-580,-21.94489,152.58116
22-084,-21.99809,152.46706
AGINCOURT REEF,-16.04517,145.86415
ARLINGTON REEF,-16.63941,146.1028
BOULT REEF,-23.76276,152.25743
BROOMFIELD REEF,-23.2657,151.9245
CENTIPEDE REEF,-18.73423,147.55211
CHICKEN REEF,-18.65388,147.71591
CHINAMAN REEF,-21.99904,152.65945
CORBETT REEF,-13.92542,144.24026
DAVIE REEF,-13.96599,144.44693
ERSKINE REEF,-23.504,151.77
FAIRFAX REEF,-23.86598,152.35922
FARQUAHARSON REEF,-17.7896,146.53186
FEATHER REEF,-17.57812,146.38676
FORE AND AFT REEF,-18.47656,147.05325
FORK REEF,-18.6065,147.5709
GRUB REEF,-18.62166,147.43341
HASTINGS REEF,-16.50097,146.0159
HEDLEY REEF,-17.22383,146.47433
HELIX REEF,-18.62552,147.29475
HOSKYN REEF,-23.80801,152.2836
JOHN BREWER REEF,-18.61726,147.07521
KELSO REEF,-18.42411,146.98581
KNIFE REEF,-18.57226,147.57555
LAGOON REEF,-12.38134,143.75682
LITTLE KELSO REEF,-18.46205,146.99845
LYNCH REEF,-18.73288,147.72155
MANTIS REEF,-12.3457,143.8674
MASTHEAD REEF,-23.53219,151.72284
MCCULLOCH REEF,-17.20274,146.47807
MCSWEENEY REEF,-11.0198,143.24783
MONSOON REEF,-11.12721,143.26387
MOORE REEF,-16.8474,146.23148
MYRMIDON REEF,-18.2575,147.38445
NORTH REEF,-23.1775,151.90408
PEART REEF,-17.46753,146.40219
RIB REEF,-18.4731,146.87271
ROXBURGH REEF,-18.43503,147.0545
SANDBANK 1 REEF,-14.20223,144.87929
SMALL LAGOON REEF,-21.86969,152.50674
ST CRISPIN REEF,-16.07261,145.84686
TAYLOR REEF,-17.81295,146.56712
THETFORD REEF,-16.77893,146.19447
