REEF_NAME,GBR_sector,Sampling_trip,Date,SAMPLE_DATE,Year_of_collection,Month_of_collection,Lat,Long,Water,Sediment,COTS_per_tow,outbreak_status,HCC_manta,HCC_transect,community_type,Open_or_Closed_to_fishing,Additional_info,long_read_shortlist
MCSWEENEY REEF,North,First,11/23/2019,2019-11-23,2019,11,S11.01980,E143.24783,40L,400g,0.138,PO,2.845,8.52028722419933,Massive Porites & Alcyoniidae,O,,y
MONSOON REEF,North,First,11/24/2019,2019-11-24,2019,11,S11.12721,E143.26387,40L,400g,0.042,NO,7.188,11.268484591474,Massive Porites & Alcyoniidae,O,,y
11-049,North,First,11/25/2019,2019-11-25,2019,11,S11.35312,E143.32346,40L,400g,0,NO,3.106,14.6606719891522,Massive Porites & Alcyoniidae,C,,y
11-162,North,First,11/27/2019,2019-11-27,2019,11,S11.59805,E143.29448,40L,400g,0,NO,8.879,14.8376599517932,Massive Porites & Alcyoniidae,C,,y
MANTIS REEF,North,First,11/29/2019,2019-11-29,2019,11,S12.34570,E143.86740,40L,400g,0,NO,21.667,29.2025137219467,Northern mixed,C,,y
LAGOON REEF,North,First,12/1/2019,2019-12-01,2019,12,S12.38134,E143.75682,40L,400g,0,NO,39.227,30.6113513396649,Northern Acropora,O,,y
13-124,North,First,12/9/2019,2019-12-09,2019,12,S13.85590,E144.09326,40L,400g,0.129,PO,20.544,25.5989787884056,Northern mixed,O,,y
CORBETT REEF,North,First,12/6/2019,2019-12-06,2019,12,S13.92542,E144.24026,40L,400g,0,NO,10.3,22.3712977722158,Northern mixed,C,,y
DAVIE REEF,North,First,12/5/2019,2019-12-05,2019,12,S13.96599,E144.44693,40L,400g,0,NO,24.439,28.9552314326305,Northern Acropora,O,,y
SANDBANK 1 REEF,North,First,12/11/2019,2019-12-11,2019,12,S14.20223,E144.87929,40L,400g,0,NO,25.658,30.574396629083,Northern Acropora,C,,y
AGINCOURT REEF,Central,Third,2/8/2020,2020-02-08,2020,2,S16.04517,E145.86415,40L,400g,0,NO,25.078,23.1012280645325,Northern soft coral,C,,y
ST CRISPIN REEF,North,First,12/13/2019,2019-12-13,2019,12,S16.07261,E145.84686,40L,400g,0,NO,8.174,19.5022309385503,Northern soft coral,O,,n
HASTINGS REEF,Central,Third,2/12/2020,2020-02-12,2020,2,S16.50097,E146.01590,40L,400g,0,NO,4.331,12.2148354156362,Northern soft coral,C,,n
ARLINGTON REEF,Central,Third,2/13/2020,2020-02-13,2020,2,S16.63941,E146.10280,40L,400g,0,NO,8.75,12.4801216422534,Northern soft coral,O,,y
