Sample_ID,REEF_NAME
11-049-1_S89_interleaved_subset_0-05_1,11-049
11-049-2_S90_interleaved_subset_0-05_1,11-049
11-049-3_S91_interleaved_subset_0-05_1,11-049
11-049-4_S92_interleaved_subset_0-05_1,11-049
11-162-1_S81_interleaved_subset_0-05_1,11-162
11-162-2_S82_interleaved_subset_0-05_1,11-162
11-162-3_S83_interleaved_subset_0-05_1,11-162
11-162-4_S84_interleaved_subset_0-05_1,11-162
13-124-1_S9_interleaved_subset_0-05_1,13-124
13-124-2_S10_interleaved_subset_0-05_1,13-124
13-124-3_S11_interleaved_subset_0-05_1,13-124
13-124-4_S12_interleaved_subset_0-05_1,13-124
21-550-1_S69_interleaved_subset_0-05_1,21-550
21-550-2_S70_interleaved_subset_0-05_1,21-550
21-550-3_S71_interleaved_subset_0-05_1,21-550
21-550-4_S72_interleaved_subset_0-05_1,21-550
21-580-1_S57_interleaved_subset_0-05_1,21-580
21-580-2_S58_interleaved_subset_0-05_1,21-580
21-580-3_S59_interleaved_subset_0-05_1,21-580
21-580-4_S60_interleaved_subset_0-05_1,21-580
22-084-1_S41_interleaved_subset_0-05_1,22-084
22-084-2_S42_interleaved_subset_0-05_1,22-084
22-084-3_S43_interleaved_subset_0-05_1,22-084
22-084-4_S44_interleaved_subset_0-05_1,22-084
Agincourt1-1_S33_interleaved_subset_0-05_1,AGINCOURT REEF
Agincourt1-2_S34_interleaved_subset_0-05_1,AGINCOURT REEF
Agincourt1-3_S35_interleaved_subset_0-05_1,AGINCOURT REEF
Agincourt1-4_S36_interleaved_subset_0-05_1,AGINCOURT REEF
Arlington-1_S37_interleaved_subset_0-05_1,ARLINGTON REEF
Arlington-2_S38_interleaved_subset_0-05_1,ARLINGTON REEF
Arlington-3_S39_interleaved_subset_0-05_1,ARLINGTON REEF
Arlington-4_S40_interleaved_subset_0-05_1,ARLINGTON REEF
Boult-1_S25_interleaved_subset_0-05_1,BOULT REEF
Boult-2_S26_interleaved_subset_0-05_1,BOULT REEF
Boult-3_S27_interleaved_subset_0-05_1,BOULT REEF
Boult-4_S28_interleaved_subset_0-05_1,BOULT REEF
Broomfield-1_S49_interleaved_subset_0-05_1,BROOMFIELD REEF
Broomfield-3_S51_interleaved_subset_0-05_1,BROOMFIELD REEF
Broomfield-4_S52_interleaved_subset_0-05_1,BROOMFIELD REEF
Broomfield-rpt-2_S115_interleaved_subset_0-05_1,BROOMFIELD REEF
Centipede-1_S57_interleaved_subset_0-05_1,CENTIPEDE REEF
Centipede-2_S58_interleaved_subset_0-05_1,CENTIPEDE REEF
Centipede-3_S59_interleaved_subset_0-05_1,CENTIPEDE REEF
Centipede-4_S60_interleaved_subset_0-05_1,CENTIPEDE REEF
Chicken-1_S69_interleaved_subset_0-05_1,CHICKEN REEF
Chicken-2_S70_interleaved_subset_0-05_1,CHICKEN REEF
Chicken-3_S71_interleaved_subset_0-05_1,CHICKEN REEF
Chicken-4_S72_interleaved_subset_0-05_1,CHICKEN REEF
Chinaman-1_S65_interleaved_subset_0-05_1,CHINAMAN REEF
Chinaman-2_S66_interleaved_subset_0-05_1,CHINAMAN REEF
Chinaman-3_S67_interleaved_subset_0-05_1,CHINAMAN REEF
Chinaman-4_S68_interleaved_subset_0-05_1,CHINAMAN REEF
Corbett-1_S17_interleaved_subset_0-05_1,CORBETT REEF
Corbett-2_S18_interleaved_subset_0-05_1,CORBETT REEF
Corbett-3_S19_interleaved_subset_0-05_1,CORBETT REEF
Corbett-4_S20_interleaved_subset_0-05_1,CORBETT REEF
Davie-1_S1_interleaved_subset_0-05_1,DAVIE REEF
Davie-2_S2_interleaved_subset_0-05_1,DAVIE REEF
Davie-3_S3_interleaved_subset_0-05_1,DAVIE REEF
Davie-4_S4_interleaved_subset_0-05_1,DAVIE REEF
Erskine-1_S61_interleaved_subset_0-05_1,ERSKINE REEF
Erskine-2_S62_interleaved_subset_0-05_1,ERSKINE REEF
Erskine-3_S63_interleaved_subset_0-05_1,ERSKINE REEF
Erskine-4_S64_interleaved_subset_0-05_1,ERSKINE REEF
Fairfax-1_S33_interleaved_subset_0-05_1,FAIRFAX REEF
Fairfax-2_S34_interleaved_subset_0-05_1,FAIRFAX REEF
Fairfax-3_S35_interleaved_subset_0-05_1,FAIRFAX REEF
Fairfax-4_S36_interleaved_subset_0-05_1,FAIRFAX REEF
Farquaharson-1_S1_interleaved_subset_0-05_1,FARQUAHARSON REEF
Farquaharson-2_S2_interleaved_subset_0-05_1,FARQUAHARSON REEF
Farquaharson-3_S3_interleaved_subset_0-05_1,FARQUAHARSON REEF
Farquaharson-4_S4_interleaved_subset_0-05_1,FARQUAHARSON REEF
Feather-1_S5_interleaved_subset_0-05_1,FEATHER REEF
Feather-2_S6_interleaved_subset_0-05_1,FEATHER REEF
Feather-3_S7_interleaved_subset_0-05_1,FEATHER REEF
Feather-4_S8_interleaved_subset_0-05_1,FEATHER REEF
Fore-and-Aft-1_S77_interleaved_subset_0-05_1,FORE AND AFT REEF
Fore-and-Aft-2_S78_interleaved_subset_0-05_1,FORE AND AFT REEF
Fore-and-Aft-3_S79_interleaved_subset_0-05_1,FORE AND AFT REEF
Fore-and-Aft-4_S80_interleaved_subset_0-05_1,FORE AND AFT REEF
Fork-1_S49_interleaved_subset_0-05_1,FORK REEF
Fork-2_S50_interleaved_subset_0-05_1,FORK REEF
Fork-3_S51_interleaved_subset_0-05_1,FORK REEF
Fork-4_S52_interleaved_subset_0-05_1,FORK REEF
Grub-1_S65_interleaved_subset_0-05_1,GRUB REEF
Grub-2_S66_interleaved_subset_0-05_1,GRUB REEF
Grub-3_S67_interleaved_subset_0-05_1,GRUB REEF
Grub-4_S68_interleaved_subset_0-05_1,GRUB REEF
Hastings-1_S41_interleaved_subset_0-05_1,HASTINGS REEF
Hastings-2_S42_interleaved_subset_0-05_1,HASTINGS REEF
Hastings-3_S43_interleaved_subset_0-05_1,HASTINGS REEF
Hastings-4_S44_interleaved_subset_0-05_1,HASTINGS REEF
Hedley-1_S21_interleaved_subset_0-05_1,HEDLEY REEF
Hedley-2_S22_interleaved_subset_0-05_1,HEDLEY REEF
Hedley-3_S23_interleaved_subset_0-05_1,HEDLEY REEF
Helix-1_S61_interleaved_subset_0-05_1,HELIX REEF
Helix-2_S62_interleaved_subset_0-05_1,HELIX REEF
Helix-3_S63_interleaved_subset_0-05_1,HELIX REEF
Helix-4_S64_interleaved_subset_0-05_1,HELIX REEF
Hoskyn-1_S29_interleaved_subset_0-05_1,HOSKYN REEF
Hoskyn-2_S30_interleaved_subset_0-05_1,HOSKYN REEF
Hoskyn-3_S31_interleaved_subset_0-05_1,HOSKYN REEF
Hoskyn-4_S32_interleaved_subset_0-05_1,HOSKYN REEF
JohnBrewer-1_S93_interleaved_subset_0-05_1,JOHN BREWER REEF
